20230429	22:44:54	7efc0473-64df-43be-8fb6-03b8405793cf	/	GET
20230429	22:44:54	987077fe-3c4d-465c-ad41-c54a7e2551a6	/css/style.css	GET
20230429	22:44:55	a35c31f3-0a0b-418f-88f5-1e7be98b50d4	/favicon.ico	GET
20230429	22:45:45	c62fb82b-0795-418e-b19e-47c8a271492d	/	GET
20230429	22:45:56	3d7aedd9-45c5-45cf-97c1-53dd61797489	/	GET
20230429	22:45:56	fda05a21-c7dd-4379-a4f5-f835867fde43	/css/style.css	GET
20230429	23:57:11	685aab78-341e-4391-80a0-feb2d6276a45	GET	undefined	/
20230429	23:57:11	30adbe3e-39d1-4163-a258-47285f720715	GET	undefined	/css/style.css
20230429	23:59:12	3ea7eb23-eaf8-4dfb-b1c0-eeab9e0c2f35	GET	undefined	/
20230429	23:59:12	28c05686-d820-48bb-b294-57c813a18367	GET	undefined	/css/style.css
20230430	00:00:05	b78f1c90-308f-4697-9a57-b96fcda43dd1	OPTIONS	https://www.google.com	/
20230430	00:00:05	8360f3a7-a801-49a6-b864-b2d1887991d8	GET	https://www.google.com	/
20230430	00:02:14	1efb9cff-070f-49df-ae84-18f2e2436011	OPTIONS	https://www.google.com	/
20230430	00:02:14	60635d3f-2d6b-42aa-bf50-cd2f411bc15e	GET	https://www.google.com	/
20230430	00:09:25	09a2d499-e7b2-4371-b2fc-170521f41b23	OPTIONS	https://www.google.com	/
20230430	00:09:25	4018f6f9-97c5-427a-9609-81003d768490	GET	https://www.google.com	/
20230430	00:09:40	eb305f73-d2b6-40b7-80d7-16bdc0bf4747	OPTIONS	https://www.google.com	/
20230430	00:09:40	547246fb-c702-4bba-9d1f-5f22e8516380	GET	https://www.google.com	/
20230430	00:10:12	910c21ea-753b-4c1a-adbc-bef586f25148	OPTIONS	https://www.google.com	/
20230430	00:10:12	affe561b-c504-4673-beb5-487d6a7be4f5	GET	https://www.google.com	/
20230430	00:10:29	0bc755cb-4786-42fb-af12-4afea4aef77f	OPTIONS	https://www.google.com	/
20230430	00:10:29	e91377cd-cdac-40e8-990c-7e4ccafc9881	GET	https://www.google.com	/
20230430	00:11:56	1dcea753-676c-47dd-9d9e-a29bae4e900c	OPTIONS	https://www.google.com	/
20230430	00:11:56	e27dcf20-0d73-469f-b56e-35819b4fbb8c	GET	https://www.google.com	/
20230430	00:14:20	91dd1e23-ba85-4d00-9e5e-5139a47d97f7	GET	undefined	/
20230430	00:15:04	282d9822-ed07-482e-9f7b-6318744b853a	GET	undefined	/
20230430	00:15:04	8c29ec8c-4bb5-4180-a430-23a54d9d1d2c	GET	undefined	/css/style.css
20230430	00:20:07	41f4c2b3-6e8d-4b4c-bd39-76ae45f780db	GET	undefined	/
20230430	00:20:20	d22cd77e-845a-475b-9653-869835033106	GET	undefined	/
20230430	00:20:20	9bd12c7f-a637-4b41-b16d-bc38b7cb6e87	GET	undefined	/css/style.css
20230430	00:22:13	ac5f9640-47d3-4824-b447-345d0ae28f64	GET	undefined	/hi
20230430	00:22:13	77ea0757-1911-4766-bb59-e06b5227f2bf	GET	undefined	/css/style.css
20230430	00:25:08	7e0e4b10-a062-4960-ae95-8fbcdf3eea78	GET	undefined	/hi
20230430	00:25:08	daadbf58-b964-416e-a854-562bcccf1759	GET	undefined	/css/style.css
20230430	00:46:07	68659e22-294c-431b-a170-2c5c9dda3445	GET	undefined	/
